Titre du livre,Thèmes,Auteur.ice,Année,Discipline,Pays
Zemmour contre l’histoire,"histoire,misogynie,sexisme",Collectif,2022,Histoire,France
"Enceinte,tout est possible","désir d'enfant,enceinte,grossesse,maternité.s",Renée Greusard,2016,Enquête,France
Choisir d’être mère - tout ce qu’on ne vous a pas dit sur la parentalité,"désir d'enfant,maternité.s,parentalité.s",Renée Greusard,2022,Essai,France
"Noirceur - Race,genre,classe et pessimisme dans la pensée africaine-américaine au XXIe siècle","communisme,pensée africaine,pensée décoloniale",Norman Ajari,2022,"Essai,Philosophie",Etats-Unis
Ceci est notre post-partum - Défaire les mythes et les tabous pour s’émanciper,"accouchement,grossesse,maternité.s,postpartum,santé mentale",Illana Weizman,2021,"Essai,Sciences sociales",France
Au nom des femmes - “Fémonationalisme” - Les instruments racistes du féminisme,"France,Italie,Pays-Bas,féminisme marxiste,fémonationalisme,racisme,racisme institutionnel,racisme structurel",Sara R. Farris,2021,"Histoire,Sociologie",Royaume-Uni
Au bonheur des vulves - Le manuel antidouleur qui en a entre les jambes,"clitoris,douleur,endométriose,vagin,vulve","Camille Tallet,Élise Thiébaut",2021,Guide,France
Im/patiente - Une exploration féministe du cancer du sein,"cancer,corps,corps féminin.s,maladie,seins","Maëlle Sigonneau,Mounia El Kotni",2021,Anthropologie,France
Les luttes des putes,"TDS,activisme,anti-capitalisme,féminisme pro sexe,lutte,lutte pour les droits des femmes,marxisme,prostitution,pute,travailleur.euse.s du sexe",Thierry Schaffauser,2014,Essai,France
"Ni dieu,ni patron,ni mari","anarchisme,exploitation sexuelle,féminisme anarchiste,lutte pour les droits des femmes,luttes ouvrières,prostitution,émancipation",La Voz de la mujer,"1896,2021",Sciences sociales,Brésil
A l’écart de la meute - Sortir de l’amitié masculine,"concept du masculin,construction des masculinités,domination masculine,fabrication du masculin,masculinité toxique",Thomas Messias,2021,Essai,France
Une chambre à soi (A room of One's own),"création artistique,domination masculine,invisibilisation,littérature,viol",Virginia Woolf,1929,"Essai,Littérature",Royaume-Uni
Le Deuxième Sexe,"domination masculine,existentialisme,l'Autre,phénoménologie,éternel féminin",Simone de Beauvoir,1949,Philosophie,France
Manifeste FEMEN,"FEMEN,activisme,lutte pour les droits des femmes,militantisme",Collectif FEMEN,2015,Manifeste,Monde
"Si je veux,quand je veux. Contraception et avortement dans la société française (1956-1979)","IVG,avortement,contraception,genre,lutte pour les droits des femmes",Bibia Pavard,2012,Histoire,France
Penser la violence des femmes,"violence des femmes,violences","Coline Cardi,Geneviève Pruvost",2012,"Anthropologie,Histoire,Sciences sociales,Sociologie",France
"La violence des femmes. Histoire d'un tabou social","violence des femmes,violences",Christophe Régina,2020,"Essai,Histoire",France
De la violence et des femmes,"violence des femmes,violences","Arlette Farge,Cécile Dauphin",1997,"Anthropologie,Histoire,Philosophie",France
"Grossières indécences - Pratiques et identités homosexuelles à Montréal,1880-1929","LGBT,LGBTQIA+,homosexualité",Domenic Dagenais,2020,Histoire,"Canada,Québec"
Les Lois Veil. Contraception 1974 et IVG 1975,"IVG,avortement,contraception","Bibia Pavard,Florence Rochefort,Michelle Zancarini-Fournel",2012,Histoire,France
L’Intersectionnalité : enjeux théoriques et politiques,"black feminism,féminisme intersectionnel,intersectionnalité","Eléonore Lépinard,Farinaz Fassa,Marta Roca i Escoda",2016,"Essai,Sciences politiques,Sociologie",France
Migrantes : du bassin du fleuve Sénégal aux rives de la Seine,"appropriation de l'espace public,genre,migrant.e.s,migrations,rapport de domination",Nehara Feldman,2018,"Enquête,Sociologie","France,Mali"
Le travail du care,"care,travail domestique,travail gratuit",Pascale Molinier,2020,"Psychologie,Sociologie",France
Les femmes palestiniennes,"Palestine,femmes palestiniennes",Cécile Auréjac,2001,"Histoire,Portraits","France,Palestine"
Femmes réfugiées palestiniennes,"Palestine,femmes palestiniennes,réfugiées",Stéphanie Latte Abdallah,2006,"Histoire,Sciences politiques","Jordanie,Palestine"
Les femmes dans la franc-maçonnerie,"franc-maçonnerie,histoire des femmes",Cécile Auréjac,2003,Histoire,France
"Femmes en prison et violences de genre,résistances à perpétuité","féminisme anti-carcéral,prison,système carcéral,violences",Natacha Chetcuti-Osorovitz,2021,Sociologie,France
La sexualité en prison de femmes,"prison,sexualité féminine,sexualité.s,système carcéral",Myriam Joël,2017,"Enquête,Sciences sociales,Sociologie",France
Femmes en prison: Dans les coulisses de Fleury-Mérogis,"grossesse,maternité.s,prison",Martine Schachtel,2000,"Santé,Sciences sociales",France
Enfermements III. Le genre enfermé. Hommes et femmes en milieux clos (XIIIe-XXe siècle),"genre,prison,système carcéral","Falk Bretschneider,Isabelle Heullant-Donat,Julie Claustre,Élisabeth Lusset",2017,"Histoire,Sociologie",France
Femmes et justice pénale - XIXe-XXe siècles,"genre,justice,prison,système carcéral,système pénal,violences","Christine Bard,Frédéric Chauvaud,Jacques-Guy Petit,Michelle Perrot",2002,Histoire,France
"Une institution dégradante,la prison","prison,système carcéral,violences",Corinne Rostaing,2021,"Enquête,Essai",France
Luttes de femmes. 100 ans d’affiches féministes,"histoire des femmes,histoire des féminismes,lutte pour les droits des femmes,militantisme","Bibia Pavard,Florence Rochefort,Michelle Zancarini-Fournel",2013,Histoire,France
On tue une femme : le féminicide : histoire et actualités,"continuum féminicidaire,féminicides,violence,violences","Frédéric Chauvaud,Laurie Laufer,Ludovic Gaussot,Lydie Bodiou,Marie-José Grihom",2019,Histoire,France
Les archives du féminicide,"continuum féminicidaire,féminicides,violence,violences","Frédéric Chauvaud,Lydie Bodiou",2022,Histoire,France
De la pleureuse à la veuve joyeuse,"pleureuse,veuvage,veuve",Frédéric Chauvaud,2018,Histoire,France
Les Filles de Marianne,"histoire des femmes,histoire des féminismes",Christine Bard,1993,Histoire,France
"La Sorcière et l’Occident. La destruction de la sorcellerie en Europe,des origines aux grands bûchers","histoire des femmes,sorcellerie,sorcières",Guy Bechtel,1997,Histoire,France
Putain,"TDS,honte,prostitution,travailleur.euse.s du sexe",Nelly Arcan,2001,Autobiographie,Canada
Transfuge de sexe - Passer les frontières du genre,"LGBT,LGBTQIA+,transfuge de sexe,transidentité,transition",Emmanuel Beaubatie,2021,Sociologie,France
"""Avant de tuer les femmes,vous devez les violer !""- Rwanda : rapports de sexe et génocide des Tutsi","instrumentalisation de la violence,viol,viol comme arme de guerre,violences sexuelles",Sandrine Ricci,2014,Sociologie,Canada
De l’exclusion à la solidarité - Regards intersectionnels sur les médias,"féminisme intersectionnel,intersectionnalité,médias",Josette Brun,2020,"Enquête,Médias",Canada
Défaire le discours sexiste dans les médias,"médias,sexisme,sexisme ordinaire",Rose Lamy,2021,"Enquête,Essai,Médias",France
Burqa de chair,"TDS,honte,prostitution,suicide,travailleur.euse.s du sexe,violences",Nelly Arcan,2010,Recueil,Canada
Frida - Une biographie de Frida Kahlo,"Frida Kahlo,art,histoire de l'art",Hayden Herrera,2013,"Histoire,Histoire de l'art",Etats-Unis
"Ni vues ni connues - Panthéon,Histoire,mémoire : où sont les femmes ?","art,histoire de l'art,histoire des femmes",Collectif Georgette Sand,2017,Histoire de l'art,France
Witchcraze - New History of the European Witch Hunts,"patriarcat,rapport de domination,sexisme,sorcellerie,sorcières",Anne L. Barstow,1995,Histoire,Etats-Unis
"The Devil in the Shape of a Woman","patriarcat,sorcellerie,sorcières",Carol F. Karlsen,1998,Histoire,Etats-Unis
Les putains du Diable. Le procès en sorcellerie des femmes,"sorcellerie,sorcières",Armelle Le Bras-Chopard,2006,Sciences politiques,France
"Femmes peintres 1550 - 1950","art,histoire de l'art,histoire des femmes","Ann Sutherland Harris,Linda Nochlin",1981,Histoire de l'art,Etats-Unis
Procès de femmes au temps des philosophes - Ou la violence masculine au XVIIIe siècle,"domination masculine,instrumentalisation de la violence,système pénal,viol,violences,violences sexuelles",Isabelle Vissière,1985,"Histoire,Juridique",France
Femmes - art et pouvoir,"art,histoire de l'art",Linda Nochlin,1993,"Essai,Histoire de l'art",Etats-Unis
The Expanding Discourse - Feminism and Art History,"art,histoire de l'art,histoire des femmes","Mary D. Garrard,Norma Broude",1992,"Essai,Histoire de l'art",Etats-Unis
"La pensée féministe noire - Savoir,conscience et politique de l’empowerment","black feminism,féminisme intersectionnel,intersectionnalité,justice sociale,militantisme,racisme,racisme structurel",Patricia Hill Collins,2016,Sociologie,Etats-Unis
Femmes au miroir : une histoire de l'autoportrait féminin,"art,histoire de l'art,histoire des femmes",Frances Borzello,2019,Histoire de l'art,Royaume-Uni
"Qu'est-ce que le genre ?","gender studies,genre,identité.s","Florence Rochefort,Laurie Laufer",2013,"Anthropologie,Histoire,Juridique,Neurobiologie,Sciences sociales",France
Le Siècle des féminismes,"histoire des femmes,histoire des féminismes","Brigitte Studer,Catherine Jacques,Eliane Gubin,Florence Rochefort,Françoise Thebaud,Michelle Zancarini-Fournel",2004,Histoire,France
Notre colère sur vos murs,"LGBTQIA+,activisme,anticapitalisme,anticolonialisme,antipatriarcal,antiracisme,collages,féminicides,lutte,militantisme,violences,violences conjugales",Collectif Féminicides Paris,2021,"Guide,Témoignages",France
"L’Anatomie politique 2 - Usage,déréliction et résilience des femmes","corps,féminisme matérialiste,organisation sociale,sexe",Nicole-Claude Mathieu,2014,Anthropologie,France
La crise de la reproduction sociale,"capitalisme patriarcal,division sexuelle du travail,intersectionnalité,militantisme,travail gratuit,travail ménager,travail reproductif","Mariarosa Dalla Costa,Silvia Federici",2020,Sciences sociales,"Etats-Unis,Italie"
"Kiffe ta race - Explorer les questions raciales sans tabou","antiracisme,intersectionnalité,racisme,racisme institutionnel,racisme structurel","Grace Ly,Rokhaya Diallo",2022,Essai,France
"Opium Nation: Child Brides,Drug Lords,and One Woman's Journey Through Afghanistan","Afghanistan,droits des femmes,mariage d'enfants,traffic de drogues",Fariba Nawa,2011,"Enquête,Témoignages","Afghanistan,Etats-Unis"
"Out of Bounds: Afghan Couples in the United States,Study of Shifting Gender and Identity","Afghanistan,couple,genre,mariage",Fariba Nawa,1996,Enquête,"Afghanistan,Etats-Unis"
"Lettres à mes filles - Entre terreur et espoir,les combats de la première femme politique afghane","Afghanistan,lutte pour les droits des femmes,militantisme",Fawzia Koofi,2011,"Essai,Témoignages",Afghanistan
Bi - Notes for a bisexual revolution,"LGBT,LGBTQIA+,bisexualité,queer,queer studies,sexualité.s",Shiri Eisner,2013,Essai,Israël
Le grand mystère des règles - Pour en finir avec un tabou vieux comme le monde,"cycles,menstruations,règles,sang menstruel,tabou",Jack Parker,2017,Essai,France
Ils vécurent heureux. Guide de survie d'une féministe en couple hétéro,"charge contraceptive,charge mentale,charge sexuelle,contraception,couple,couple hétérosexuel,désir d'enfant,non désir d'enfant,sexualité.s",Mymy Haegel,2021,Guide,France
"Homoparentalité - La famille en question ?","LGBT,LGBTQIA+,couple homosexuel,filiation,homoparentalité,homosexualité,queer studies","Flavio Luiz Tarnovski,Jérôme Courduriès",2020,"Anthropologie,Sociologie","Brésil,France"
Homosexualité et parenté,"GPA,LGBT,LGBTQIA+,PMA,couple homosexuel,filiation,homoparentalité,homosexualité,queer studies","Agnès Fine,Claire Ansermet,Jérôme Courduriès",2014,Anthropologie,"Belgique,Brésil,Espagne,Etats-Unis,France,Suisse"
Des femmes contre le militarisme et la guerre,"antimilitarisme,capitalisme patriarcal,féminisme pacifiste",Cynthia Cockburn,2015,"Histoire,Sociologie",Royaume-Uni
Family Fortunes - Hommes et femmes de la bourgeoisie anglaise 1780-1850,"domination masculine,domination sociale,espace domestique,espace public,rapport de domination,travail domestique,travail gratuit,travail rémunéré","Catherine Hall,Leonore Davidoff",1987,"Histoire,Sociologie",Royaume-Uni
Etre en couple (gay) - Conjugalité et homosexualité masculine en France,"LGBT,couple homosexuel,homophobie,homosexualité",Jérôme Courduriès,2011,"Anthropologie,Sociologie",France
Manuel de la résistance féministe,"action citoyenne,activisme,lutte pour les droits des femmes,militantisme",Marie-Eve Surprenant,2015,"Essai,Histoire,Sciences politiques",Canada
Corps de la femme et biomédecine,"IVG,PMA,avortement,contraception,corps,corps médical","Amel Aouij-Mrad,Brigitte Feuillet-Liger",2013,"Droit,Juridique,Médecine,Santé","Allemagne,Belgique,Brésil,Chili,Chine,Egypte,Espagne,Etats-Unis,France,Grèce,Hongrie,Italie,Royaume-Uni,Suisse,Sénégal,Taiwan,Tunisie,Turquie"
Le Harem et l'Occident,"féminismes islamiques,féminismes musulmans,harem,islam",Fatema Mernissi,2001,"Essai,Histoire,Sociologie",Maroc
"Fatima Mernissi,le fil invisible du féminisme","féminismes islamiques,féminismes musulmans,islam",Farid Merini,2019,Essai,Maroc
Perspectives internationales sur la gestation pour autrui,"GPA,désir d'enfant","Isabel Côté,Jérôme Courduriès,Kevin Lavoie",2018,Anthropologie,"Canada,France,Québec"
L’Arrangement des sexes,"constructions sociales,domination masculine,inconscient patriarcal,patriarcat,sexisme ordinaire","Claude Zaidman,Erving Goffman",2002,Sociologie,"Canada,Etats-Unis"
De gré ou de force. Les femmes dans la mondialisation,"capitalisme patriarcal,mondialisation néolibérale",Jules Falquet,2008,Sociologie,France
"Se battre,disent-elles","division sexuelle du travail,domination sociale,féminisme décolonial,lutte pour les droits des femmes,luttes ouvrières,rapport de domination,travail domestique,travail gratuit",Danièle Kergoat,2012,Sociologie,France
La fabrique du viol,"culture du viol,viol,violences sexuelles",Suzanne Zaccour,2019,"Droit,Essai",Canada
The Beauty Myth : How Images of Beauty Are Used Against Women,"corps,injonction à la beauté,injonction à la minceur",Naomi Wolf,2002,Essai,Etats-Unis
"La Femme Mystifique / The Feminine Mystique","corps,division sexuelle du travail,espace domestique,injonctions,sexualité féminine",Betty Friedan,1963,"Essai,Psychologie",Etats-Unis
"Petites filles aujourd'hui. L'apprentissage de la féminité","concept du féminin,féminité,injonctions,normes sociales",Catherine Monnot,2009,"Anthropologie,Sciences sociales",France
The Male Body: A New Look at Men in Public and in Private,"corps,espace domestique,espace public",Susan Bordo,1999,Sciences sociales,Etats-Unis
"Vagabondes,voleuses,vicieuses - Adolescentes sous contrôle,de la Libération à la libération sexuelle","injonctions,normes sociales,sexualité.s",Véronique Blanchard,2019,Histoire,France
Mauvaises filles. Incorrigibles et rebelles,"genre,injonctions,justice,normes sociales","David Niget,Véronique Blanchard",2015,"Histoire,Portraits",France
Genre et rapports de pouvoir dans l'institution judiciaire ,"genre,justice,pouvoir",Arthur Vuattoux,2016,Sociologie,France
"Le salaire au travail ménager: Chronique d’une lutte féministe internationale,1972-1977","lutte pour les droits des femmes,marxisme,militantisme,travail domestique,travail gratuit,travail ménager",Louise Toupin,2014,"Sciences politiques,Sciences sociales","Canada,Québec"
Le pouvoir de la femme et la subversion sociale,"travail domestique,travail gratuit,travail ménager","Mariarosa Dalla Costa,Selma James",1973,"Sciences sociales,Sociologie",Italie
L'écoféminisme en questions - Un nouveau regard sur le monde,"anti-capitalisme,anticapitalisme,antimilitarisme,antipatriarcal,pacifisme,écoféminisme,écologie,écologie politique","Anna Maria Riccobono,Pascale d'Erm",2021,Ecologie,France
Le sein. Une histoire,"corps,corps féminin.s,féminisme matérialiste,seins",Marilyn Yalom,2010,"Essai,Histoire",France
Le culte des seins,"corps,corps féminin.s,féminisme matérialiste,seins","Allan Rothschild,Caroline Pochon",2010,Essai,France
Jeunes couples en quête d’égalité,"couple,couple homosexuel,couple hétérosexuel,sexualité.s",Marie-Eve Surprenant,2009,Sociologie,Canada
"Allers-retours pour un bébé","FIV,congélation d'ovocytes,désir d'enfant,maternité.s",Audrey Page,2020,Témoignages,France
Naissances lesbiennes - parcours de lesbiennes féministes,"LGBT,LGBTQIA+,lesbianisme",Osez le féminisme,2021,Témoignages,France
La loi des pères,"inceste,viol,violences,violences familiales,violences sexuelles",Patric Jean,2020,"Droit,Juridique",France
Le Berceau des dominations - Anthropologie de l'inceste,"inceste,viol,violences sexuelles",Dorothée Dussy,2021,"Anthropologie,Ethnologie",France
"Théorie queer et cultures populaires,de Foucault à Cronenberg","LGBT,LGBTQIA+,queer studies",Teresa de Lauretis,2007,Sociologie,Italie
"La puissance féministe - ou le désir de tout changer","grève féministe,lutte pour les droits des femmes,militantisme",Verónica Gago,2021,"Sciences politiques,Sociologie",Argentine
Economies populaires et luttes féministes - Résister au néolibéralisme en Amérique du sud,"anticapitalisme,luttes révolutionnaires,violences,économies informelles",Verónica Gago,2020,"Sciences sociales,Sociologie",Argentine
Les femmes changent la lutte. Au cœur du printemps québécois,"action citoyenne,activisme,lutte pour les droits des femmes,militantisme","Marie-Eve Surprenant,Mylène Bigaouette",2013,Sociologie,"Canada,Québec"
Des voix derrière le voile,"féminismes islamiques,féminismes musulmans,voile",Faïza Zerouala,2015,Témoignages,France
En finir avec la culture du viol,"culture du viol,viol,violences sexuelles",Noémie Renard,2021,Essai,France
Women and Gender in Iraq : between Nation-Building and Fragmentation,"Irak,activisme,genre,identité nationale,lutte pour les droits des femmes",Zahra Ali,2018,"Ethnologie,Sociologie,Témoignages",Irak
Elles ont fait l’Amérique - De remarquables oubliés. Tome 1,histoire des femmes,"Marie-Christine Lévesque,Serge Bouchard",2011,Histoire,Canada
Troubles dans le consentement. Du désir partagé au viol : ouvrir la boîte noire des relations sexuelles,"consentement,viol,violences sexuelles",Alexia Boucherie,2019,Sociologie,France
"Des femmes qui s’aiment","LGBT,LGBTQIA+,gay and lesbian studies,lesbianisme",Evelyne Le Garrec,1984,Sociologie,France
"Gayfriendly,acceptation et contrôle de l’homosexualité à Paris et à New York","LGBT,LGBTQIA+,gay and lesbian studies,gay studies,homosexualité",Sylvie Tissot,2018,Sociologie,"Etats-Unis,France"
"Dating Fatigue,amours et solitudes dans les années (20)20","Tinder,amour.s,numérique",Judith Duportail,2021,Enquête,France
"Unbearable Lightness,a story of loss and gain","anorexie,boulimie,troubles alimentaires",Portia de Rossi,2010,"Autobiographie,Essai",Australie
"On ne naît pas féministe,on le devient - et si vous passiez à l'action ?","grossesse,sexisme ordinaire,sexualité.s,sororité,violences",Julia Petri,2020,Essai,France
"Judy,Lola,Sofia et moi ","TDS,industrie pornographique,pornographie,sexualité.s",Robin d’Angelo,2018,Enquête,France
Screening sex. Une histoire de la sexualite sur les écrans américains,"TDS,industrie pornographique,pornographie,sexualité.s,travailleur.euse.s du sexe",Linda Williams,2014,"Cinéma,Essai",Etats-Unis
"Hard Core: Power,Pleasure and the “Frenzy of the Visible”","TDS,industrie pornographique,pornographie,sexualité.s,travailleur.euse.s du sexe",Linda Williams,1999,"Cinéma,Essai,Sciences sociales,Sociologie",Etats-Unis
Un appartement sur Uranus,"LGBT,LGBTQIA+,transfuge de sexe,transidentité",Paul B. Preciado,2019,"Essai,Philosophie","Espagne,France"
La production des évidences sur l’intersexuation ,"LGBTQIA+,intersexe,intersexuation",Michal Raz,2019,"Médecine,Santé,Sciences sociales",France
"Classer,dominer : Qui sont les «  autres  » ?","hétéronormativité,hétérosexualité,intersectionnalité,rapport de domination",Christine Delphy,2008,"Philosophie,Sociologie",France
Désirer comme un homme - Enquête sur les fantasmes et les masculinités,"construction des masculinités,domination masculine,désir,fantasmes,pornographie,sexualité.s",Florian Vörös,2020,"Sciences sociales,Sociologie",France
Le travail pornographique – Enquête sur la production de fantasmes,"fantasmes,industrie pornographique,pornographie,sexualité.s",Mathieu Trachman,2013,Sociologie,France
Grammaire non sexiste de la langue française : le masculin ne l'emporte plus !,"sexisme,sexisme ordinaire,écriture inclusive","Michaël Lessard,Suzanne Zaccour",2021,Linguistique,Canada
"L’Académie contre la langue française","domination masculine,language,langue française,sexisme,écriture inclusive",Éliane Viennot,2016,"Histoire,Linguistique",France
"Le language inclusif,pourquoi,comment","domination masculine,language,langue française,sexisme,écriture inclusive",Eliane Viennot,2018,"Histoire,Linguistique",France
The tragedy of heterosexuality,"LGBT,LGBTQIA+,homosexualité,hétéronormativité,hétérosexualité,injonctions,normes sociales",Jane Ward,2020,"Essai,Sciences sociales",Etats-Unis
Introduction aux porn studies,"TDS,industrie pornographique,pornographie,sexualité.s",François-Ronan Dubois,2014,"Histoire,Sciences sociales",France
"Le poids,un enjeu féministe","grossophobie,injonction à la minceur,injonctions",Susie Orbach,1978,Psychologie,Royaume-Uni
Ce que le genre fait au droit,"droits de l'humain,droits des femmes,genre","Diane Roman,Mathias Möschel,Stéphanie Hennette Vauchez",2013,Droit,France
"Hétéro,l'école ? Plaidoyer pour une éducation anti-oppressive à la sexualité","hétéronormativité,hétérosexualité,école",Gabrielle Richard,2019,Sociologie,"Canada,France,Québec"
La Face cachée du genre : langage et pouvoir des normes,"genre,langage,normes sociales","Luca Greco,Natacha Chetcuti-Osorovitz",2012,"Linguistique,Sociologie",France
Feu - Abécédaire des féminismes présents,"amour.s,anti-validisme,culture du viol,féminisme anti-carcéral,féminisme décolonial,féminisme radical,grossophobie,grève féministe,hétéronormativité,intersectionnalité,maternité.s,sexualité.s,écoféminisme",Elsa Dorlin,2021,Sciences sociales,France
"Dans les coulisses du genre,la fabrique de soi chez les drag kings","genre,normes sociales,queer",Luca Greco,2018,"Ethnologie,Linguistique,Sociologie",France
La fin de l’amour : enquête sur un désarroi contemporain,"amour.s,couple,couple homosexuel,couple hétérosexuel,hétéronormativité",Eva Illouz,2019,"Essai,Sociologie","France,Israël"
Between Men : English Literature and Male Homosocial Desire,"genre,homosociabilité,sexualité.s",Eve Kosofsky Sedgwick,1985,"Gender studies,Sciences sociales",Etats-Unis
Pourquoi l'amour fait mal ? L'expérience amoureuse dans la modernité,"amour.s,couple,couple homosexuel,couple hétérosexuel,modernité",Eva Illouz,2012,Sociologie,"France,Israël"
Hard romance - Cinquante nuances de Grey et nous,"domination masculine,sexe,sexualité.s",Eva Illouz,2014,Sociologie,"France,Israël"
Sentiments du capitalisme,"amour.s,capitalisme,capitalisme patriarcal,hétéronormativité",Eva Illouz,2006,Sociologie,"France,Israël"
Porno Manifesto,"TDS,féminisme pro sexe,industrie pornographique,pornographie,sexualité.s",Ovidie,2002,"Essai,Témoignages",France
Osez découvrir le point G,"sexualité féminine,sexualité.s,éducation à la sexualité",Ovidie,2017,Guide,France
La Sexualité féminine de A à Z,"corps,ménopause,sexualité féminine,sexualité.s",Ovidie,2010,Essai,France
Jouir est un sport de combat,"TDS,industrie pornographique,pornographie,travailleur.euse.s du sexe","Olympe de G.,Stéphanie Estournet",2021,Manifeste,France
Guide de reparties anti-relous - prendre sa revanche sur le sexisme ordinaire,"sexisme,sexisme ordinaire","Laura Cozic,Marion Escot",2021,Guide,France
Génération No Pilule,"arrêt de la pilule,charge contraceptive,contraception,pilule","Florette Le-Brech,Maëlle Kaddah",2021,"Essai,Santé",France
Féminismes et Pornographie,"TDS,féminisme pro sexe,industrie pornographique,pornographie,sexualité.s",David Courbet,2017,Sciences sociales,France
"Against Our Will : Men,Women,and Rape","consentement,culture du viol,viol,violences sexuelles",Susan Brownmiller,1975,Sciences sociales,Etats-Unis
Feminity,"concept du féminin,féminité,injonctions,éternel féminin",Susan Brownmiller,1984,Sciences sociales,Etats-Unis
Dans la bouche d'une fille,"espace domestique,espace public,harcèlement,harcèlement sexuel,sexisme ordinaire",Collectif,2021,Manifeste,France
Les Genres Fluides - Brève Histoire de l'Identité au Moyen Age,"LGBT,Moyen Age,genre,identité.s,transidentité",Clovid Maillet,2020,Histoire,France
Ensauvagement - Le petit livre de la colère,"féminisme décolonial,féminisme radical,luttes révolutionnaires,écologie",Gioia Kayaga,2020,Essai,Belgique
"L’inversion de la question homosexuelle","LGBT,PACS,homoparentalité,homosexualité,hétéronormativité",Eric Fassin,2015,Sociologie,France
Au-delà du PACS - L'expertise familiale à l'épreuve de l'homosexualité,"PACS,couple homosexuel,homoparentalité,homosexualité","Daniel Borrillo,Eric Fassin",2001,"Juridique,Sociologie",France
Combattre le cybersexisme,"cyber violences,cyberharcèlement,cybersexisme,sexisme,sexisme ordinaire",Association Stop Fisha,2021,Enquête,France
"Avortée - Une histoire intime de l’IVG","IVG,avortement,intime,non désir d'enfant,patriarcat",Pauline Harmange,2022,Essai,France
Cultures pornographiques : Anthologie des porn studies,"TDS,industrie pornographique,pornographie,sexualité.s",Florian Vörös,2015,"Sciences sociales,Sociologie",France
Les pièges du consentement - pour une redéfinition pénale du consentement sexuel,"agression sexuelle,consentement,harcèlement sexuel,viol,violences sexuelles",Catherine Le Maguresse,2021,"Droit,Juridique",France
"L’étude et le rouet. 1. Des femmes,de la philosophie","histoire,histoire des femmes",Michèle Le Doeuff,1989,Histoire,France
Nos amours radicales,"LGBT,LGBTQIA+,amour.s,couple,couple homosexuel,couple hétérosexuel,polyamours,queer","Anaïs Bourdet,Axelle Jah Njiké,Emanouela Todorova,Léane Alestra,Sabrina Erin Gin,Sharone Omankoy",2021,Essai,France
Rébellion,"FEMEN,activisme,lutte pour les droits des femmes,militantisme",Collectif FEMEN,2017,Témoignages,Monde
Sortir de l'hétérosexualité,"couple hétérosexuel,hétéronormativité,hétérosexualité,normes sociales",Juliet Drouar,2021,Sciences sociales,France
"La culture de l'inceste","inceste,viol,violences sexuelles",Juliet Drouar,2022,"Essai,Sciences sociales",France
"Le temps des femmes - pour un nouveau partage des rôles","rôles,rôles genrés,travail domestique,travail gratuit,travail ménager",Dominique Méda,2001,"Sciences sociales,Sociologie",France
Les matriarches,"matriarcat,matriarche",Nadia Ferroukhi,2021,Photographie,"Algérie,France,République Tchèque"
"Sport,genre et vulnérabilité au XXème siècle","genre,injonctions,sport",Stéphane Héas,2013,"Sciences sociales,Sociologie",France
Le coeur sur la table - Pour une révolution romantique,"LGBT,amour.s,couple,couple homosexuel,couple hétérosexuel,désir,injonctions,monogamie,révolution romantique,violences",Victoire Tuaillon,2021,"Essai,Sciences sociales,Témoignages",France
Histoire de l’inégalité - entre les femmes et les hommes,"inégalités,rapport de domination",Anne Bergheim-Negre,2021,"Droit,Histoire",France
Ces femmes qui ont dit non à la colonisation,"anticolonialisme,féminisme décolonial",Eve Menu,2021,Sciences sociales,France
Madeleine Riffaud - L’esprit de résistance,"lutte,résistance,violence des femmes",Isabelle Mons,2019,"Biographie,Histoire",France
19 femmes - Les Syriennes racontent,"Syrie,luttes révolutionnaires,résistance,révolution",Samar Yazbek,2019,Témoignages,Syrie
Désirer à tout prix - Comment le capitalisme a infiltré la sexualité,"capitalisme patriarcal,désir,non-sexualité,patriarcat,sexualité obligatoire,sexualité.s",Tal Madesta,2022,Essai,France
Nous aurons aussi de beaux jours - écrits de prison,"Kurdes,droits des femmes,lutte pour les droits des femmes,militantisme,prison,violences",Zehra Dogann,2019,"Essai,Sciences sociales",Turquie
"Chamanes,sorcières et guérisseurs","chamanes,sorcières",Claude Mesmin,2021,"Essai,Ethnologie,Psychologie",France
Alpha mâle - Séduire les femmes pour s'apprécier entre hommes,"construction des masculinités,constructions sociales,inconscient patriarcal",Mélanie Gourarier,2017,Anthropologie,France
"L’âge d’or de l’ordre masculin - La France,les femmes et le pouvoir 1804-1860","domination masculine,pouvoir,rapport de domination",Eliane Viennot,2020,Histoire,France
Lettres aux jeunes poétesses,"art,identité.s,reconquête de soi",Aurélie Olivier,2021,Témoignages,France
"Mon privilège,ton oppression","classisme,discriminations,domination masculine,domination sociale,hétéronormativité,oppressions,privilèges,racisme,rapport de domination,sexisme,validisme",Nathalie Achard,2021,Guide,France
Les malentendues - Foi et féminisme : des droits réconciliables,"identité.s,religion",Dania Suleman,2021,"Droit,Essai,Sociologie",Canada
Gros n'est pas un gros mot - Chroniques d'une discrimination ordinaire,"corps,corps féminin.s,discriminations,gros,grosse,grossophobie,injonction à la minceur,injonctions","Daria Marx,Eva Perez-Bello",2018,Essai,France
La domination adulte : l'oppression des mineurs,"inceste,viol,violences sexuelles",Yves Bonnardel,2015,Essai,France
